table,panel,window,series,field,observed,expected,match
T1,Painel C,10Y,S&P 500 em BRL (PR),cagr_10Y,"19,73","19,73",True
T1,Painel C,15Y,S&P 500 em BRL (PR),cagr_15Y,"21,18","21,18",True
T1,Painel C,20Y,S&P 500 em BRL (PR),cagr_20Y,"12,87","12,87",True
T1,Painel C,25Y,S&P 500 em BRL (PR),cagr_25Y,"11,15","11,15",True
T1,Painel C,5Y,S&P 500 em BRL (TR),mult_5Y,"2,62","2,62",True
T1,Painel C,10Y,S&P 500 em BRL (TR),mult_10Y,"7,23","7,23",True
T1,Painel C,15Y,S&P 500 em BRL (TR),mult_15Y,"23,64","23,64",True
T1,Painel C,20Y,S&P 500 em BRL (TR),mult_20Y,"16,57","16,57",True
T1,Painel C,25Y,S&P 500 em BRL (TR),mult_25Y,"22,32","22,32",True
T1,Painel C,5Y,S&P 500 em BRL (TR),cagr_5Y,"21,27","21,27",True
T1,Painel C,10Y,S&P 500 em BRL (TR),cagr_10Y,"21,92","21,92",True
T1,Painel C,15Y,S&P 500 em BRL (TR),cagr_15Y,"23,52","23,52",True
T1,Painel C,20Y,S&P 500 em BRL (TR),cagr_20Y,"15,10","15,10",True
T1,Painel C,25Y,S&P 500 em BRL (TR),cagr_25Y,"13,25","13,25",True
T2,D0,5Y,Portfólio A (TR),vol,"15,56","15,56",True
T2,D0,5Y,Portfólio A (TR),dd,"-6,93","-6,93",True
T2,D0,5Y,Portfólio A (TR),sharpe,"0,507","0,507",True
T2,D0,5Y,Portfólio A (TR),sortino,"0,881","0,881",True
T2,D0,5Y,Portfólio A (TR),neg,"37,70","37,70",True
T2,D0,5Y,Portfólio A (TR),worst,"-9,35","-9,35",True
T2,D0,5Y,Portfólio A (TR),best,"13,64","13,64",True
T2,D0,5Y,Portfólio A (TR),N,61,61,True
T2,D0,5Y,Portfólio B (TR),vol,"17,37","17,37",True
T2,D0,5Y,Portfólio B (TR),dd,"-11,35","-11,35",True
T2,D0,5Y,Portfólio B (TR),sharpe,"0,548","0,548",True
T2,D0,5Y,Portfólio B (TR),sortino,"0,883","0,883",True
T2,D0,5Y,Portfólio B (TR),neg,"32,79","32,79",True
T2,D0,5Y,Portfólio B (TR),worst,"-9,89","-9,89",True
T2,D0,5Y,Portfólio B (TR),best,"12,96","12,96",True
T2,D0,5Y,Portfólio B (TR),N,61,61,True
T2,D0,5Y,Portfólio C (TR),vol,"18,35","18,35",True
T2,D0,5Y,Portfólio C (TR),dd,"-11,91","-11,91",True
T2,D0,5Y,Portfólio C (TR),sharpe,"0,480","0,480",True
T2,D0,5Y,Portfólio C (TR),sortino,"0,788","0,788",True
T2,D0,5Y,Portfólio C (TR),neg,"39,34","39,34",True
T2,D0,5Y,Portfólio C (TR),worst,"-9,09","-9,09",True
T2,D0,5Y,Portfólio C (TR),best,"14,51","14,51",True
T2,D0,5Y,Portfólio C (TR),N,61,61,True
T2,D0,5Y,CDI (TR),vol,"1,01","1,01",True
T2,D0,5Y,CDI (TR),dd,"0,00","0,00",True
T2,D0,5Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D0,5Y,CDI (TR),sortino,"0,000","0,000",True
T2,D0,5Y,CDI (TR),neg,"0,00","0,00",True
T2,D0,5Y,CDI (TR),worst,"0,07","0,07",True
T2,D0,5Y,CDI (TR),best,"1,28","1,28",True
T2,D0,5Y,CDI (TR),N,61,61,True
T2,D0,5Y,Ibovespa (TR),vol,"17,57","17,57",True
T2,D0,5Y,Ibovespa (TR),dd,"-22,29","-22,29",True
T2,D0,5Y,Ibovespa (TR),sharpe,"-0,006","-0,006",True
T2,D0,5Y,Ibovespa (TR),sortino,"-0,009","-0,009",True
T2,D0,5Y,Ibovespa (TR),neg,"39,34","39,34",True
T2,D0,5Y,Ibovespa (TR),worst,"-11,50","-11,50",True
T2,D0,5Y,Ibovespa (TR),best,"12,56","12,56",True
T2,D0,5Y,Ibovespa (TR),N,61,61,True
T2,D0,5Y,S&P 500 em BRL (PR),vol,"15,64","15,64",True
T2,D0,5Y,S&P 500 em BRL (PR),dd,"-27,13","-27,13",True
T2,D0,5Y,S&P 500 em BRL (PR),sharpe,"0,080","0,080",True
T2,D0,5Y,S&P 500 em BRL (PR),sortino,"0,117","0,117",True
T2,D0,5Y,S&P 500 em BRL (PR),neg,"45,90","45,90",True
T2,D0,5Y,S&P 500 em BRL (PR),worst,"-9,05","-9,05",True
T2,D0,5Y,S&P 500 em BRL (PR),best,"10,92","10,92",True
T2,D0,5Y,S&P 500 em BRL (PR),N,61,61,True
T2,D0,5Y,S&P 500 em BRL (TR),vol,"15,66","15,66",True
T2,D0,5Y,S&P 500 em BRL (TR),dd,"-26,24","-26,24",True
T2,D0,5Y,S&P 500 em BRL (TR),sharpe,"0,172","0,172",True
T2,D0,5Y,S&P 500 em BRL (TR),sortino,"0,259","0,259",True
T2,D0,5Y,S&P 500 em BRL (TR),neg,"45,90","45,90",True
T2,D0,5Y,S&P 500 em BRL (TR),worst,"-8,97","-8,97",True
T2,D0,5Y,S&P 500 em BRL (TR),best,"11,01","11,01",True
